Gene	log2FC_mRNA	padj
106785	3.008413897	0.001480311
141912	1.652092151	0.001483683
157567	-1.583890028	0.00148663
109602	-1.392520168	0.001539474
156052	-1.023702701	0.001575358
115897	-1.091397749	0.001608506
107171	2.773413108	0.001665625
108653	1.012991121	0.001685274
188636	1.127437112	0.00169093
149657	1.068352754	0.001703575
124855	1.146021869	0.00173547
86692	-1.00649713	0.001805819
146159	1.164564106	0.00182127
81595	2.443619435	0.001822517
165806	1.42391633	0.001824417
156758	-1.762836857	0.001824692
164063	-1.170986948	0.001852693
108372	1.754869843	0.001859986
106921	1.005536414	0.001878745
171553	-1.04361643	0.001879959
146080	1.234495318	0.001880793
166162	1.523922249	0.00188396
157923	4.424130068	0.002000538
156744	1.466027967	0.002054756
85566	1.451824311	0.002123367
114253	1.341017733	0.002143186
104334	1.678187948	0.002167588
136688	-1.008032808	0.00226218
147295	-1.002745725	0.002264259
115809	1.231487801	0.002269138
104741	1.549503977	0.002274635
112311	2.64567275	0.002342375
83270	-1.031222184	0.002381194
158671	2.783273252	0.002386171
156606	2.372262534	0.002410149
105918	2.074888963	0.002441639
45061	-1.008099406	0.002476343
153068	-1.065062821	0.002496812
114766	1.367416419	0.002518944
136560	2.963901893	0.002537429
157002	-1.093191424	0.002570923
22237	-1.208214638	0.002570923
116099	1.049257152	0.0025754
178464	1.136136001	0.002615111
131995	1.581481928	0.002657393
158906	-1.231764788	0.00268205
115431	-1.036799478	0.002683464
142188	-1.051015895	0.002691495
163925	-1.350758639	0.002747615
109227	1.338812032	0.002750347
108379	1.839508725	0.002814467
113531	-1.233649152	0.002823386
104957	1.039997126	0.002840896
166331	-2.407295729	0.002840896
109813	2.092213139	0.002943985
127425	-1.522356773	0.002947124
79873	-1.132569836	0.00313845
154912	1.436985064	0.003143917
107081	1.469157533	0.003144729
155817	3.799570122	0.00329005
72002	1.816775243	0.00329005
77661	-1.154105354	0.003328596
104766	2.605538731	0.003361365
156012	1.127721465	0.003395024
