Gene	log2FC_sRNA	padj
126658	-1.121648291	1.27E-09
155962	1.327048263	1.32E-09
77196	1.728652367	1.34E-09
152792	1.502907526	1.45E-09
110939	1.646458863	1.94E-09
17593	1.823200487	1.98E-09
185348	-1.73070023	2.18E-09
115852	-2.771401654	2.33E-09
124855	1.823496062	2.49E-09
171785	1.895376691	3.22E-09
115763	-2.489509597	3.30E-09
122685	-1.089920622	3.31E-09
157371	-1.213433048	3.41E-09
19483	-4.273019665	3.53E-09
161881	1.385601176	3.82E-09
80664	-1.993024484	4.24E-09
167295	-2.389954923	4.39E-09
108667	-1.886686308	5.28E-09
79271	-2.566965814	5.37E-09
106942	-2.583611261	6.81E-09
184814	1.179794425	6.91E-09
184750	-1.573659209	7.24E-09
115620	-2.51335845	7.54E-09
116409	-1.284395654	8.87E-09
82544	-1.977728038	9.20E-09
189175	2.107203571	9.46E-09
77781	-1.392986136	9.57E-09
154936	-3.279554183	1.01E-08
157486	2.448643104	1.13E-08
106110	-1.470611027	1.13E-08
139791	1.262512604	1.24E-08
44932	1.115453748	1.33E-08
159414	1.626294892	1.44E-08
32382	1.595122854	1.54E-08
163411	-1.970200098	1.58E-08
106237	-2.02405189	1.61E-08
155711	1.987070522	1.64E-08
115100	-2.338366269	1.79E-08
111806	-2.955446461	1.86E-08
156869	-1.337259451	1.93E-08
129613	1.057688881	2.05E-08
156065	1.940560335	2.11E-08
152780	-1.149190553	2.30E-08
111467	-2.736232117	2.35E-08
106355	1.734579378	2.39E-08
109356	1.281759087	2.81E-08
78931	1.284932538	3.08E-08
157548	1.194290993	3.18E-08
156250	1.302084363	3.58E-08
156254	2.001208723	4.20E-08
155573	2.552682187	4.29E-08
141131	1.163516062	4.52E-08
154902	-1.013138942	4.55E-08
111943	-1.961592625	5.24E-08
84372	-2.311462194	5.48E-08
147955	-1.547097954	5.61E-08
106240	1.651764558	5.63E-08
174448	-2.073950066	6.42E-08
141273	1.685217186	6.70E-08
155651	-1.348474847	6.93E-08
51186	1.405082611	7.03E-08
109353	-1.380905294	7.20E-08
154019	1.053721602	7.24E-08
152522	-1.826715694	7.74E-08
157324	-1.109255805	8.25E-08
86692	-1.008589921	8.30E-08
156013	1.122667411	8.55E-08
151062	1.050053554	9.74E-08
155263	1.359930247	1.05E-07
139614	-1.023137485	1.05E-07
107290	2.147320017	1.09E-07
40786	-1.198703133	1.11E-07
112430	1.114444025	1.12E-07
142931	1.065789628	1.28E-07
105139	-1.384516947	1.52E-07
79339	-1.576439762	1.53E-07
104629	1.166548111	1.71E-07
156978	1.03224924	1.80E-07
157132	1.726064603	1.81E-07
105280	-2.203771749	1.82E-07
187130	-1.786274226	1.95E-07
157072	-1.902023497	2.28E-07
162849	1.381325902	2.33E-07
171024	1.438669989	2.43E-07
156248	1.791222595	2.46E-07
107299	-6.533947369	2.49E-07
45643	1.42790546	2.76E-07
151819	-1.09161849	2.76E-07
110207	1.204065384	2.76E-07
145020	1.150564577	2.87E-07
83031	-2.897802811	2.89E-07
117981	-1.602806548	2.96E-07
78611	1.322088046	2.96E-07
144790	-1.811286416	3.00E-07
153506	1.393705683	3.02E-07
84255	-2.013680311	3.07E-07
115925	2.229469615	3.07E-07
173295	-2.171279373	3.08E-07
121218	1.749242737	3.53E-07
108308	1.217440695	3.82E-07
183529	1.172398006	3.86E-07
122731	1.224883816	4.10E-07
167165	1.554753349	4.36E-07
116274	-4.48795766	4.46E-07
137463	-1.39696632	4.54E-07
158611	1.385448587	4.95E-07
105625	-2.274083765	4.99E-07
152044	-1.944335307	5.23E-07
150480	-1.132559908	5.49E-07
41661	-1.101800314	5.68E-07
147160	-1.872773631	5.75E-07
155276	1.196641598	5.75E-07
115710	-2.489865819	5.91E-07
71272	1.402308816	6.08E-07
12667	-1.287704752	6.16E-07
153280	1.610908695	6.27E-07
114672	1.314135823	6.27E-07
115137	1.585531015	6.30E-07
136487	1.897070024	6.54E-07
185065	-1.402657089	6.60E-07
81857	1.050691371	6.65E-07
156936	1.3849427	6.91E-07
82305	-2.426140528	7.22E-07
115376	-2.313787885	7.22E-07
142083	2.185647882	7.36E-07
147806	1.203081213	7.57E-07
157070	-1.668102033	9.48E-07
74396	1.119895812	9.98E-07
